,Componente,Pccomponentes,Amazon,Dif,Lower,To Build,Date
0,REFRIGERACION,258.99,258.99,0.0,200.0,👎,2022-11-24
1,SSD,99.44,96.28,3.1599999999999966,90.0,👎,2022-11-24
2,MOTHERBOARD,217.59,183.45,34.140000000000015,150.0,👎,2022-11-24
3,CAJA,148.68,139.9,8.780000000000001,130.0,👎,2022-11-24
